iter	Passed	Remaining
0	0	125
1	0	134
2	0	113
3	0	93
4	0	81
5	0	77
6	1	74
7	1	72
8	1	72
9	1	68
10	1	65
11	1	62
12	1	60
13	1	59
14	1	59
15	1	57
16	2	66
17	2	67
18	2	66
19	2	65
20	2	63
21	2	63
22	3	62
23	3	61
24	3	60
25	3	59
26	3	59
27	3	59
28	3	60
29	3	60
30	3	60
31	4	59
32	4	58
33	4	58
34	4	57
35	4	57
36	4	56
37	4	56
38	4	56
39	4	56
40	5	56
41	5	56
42	5	55
43	5	57
44	5	58
45	5	57
46	6	57
47	6	57
48	6	57
49	6	57
50	6	57
51	6	56
52	6	56
53	6	56
54	6	55
55	6	55
56	7	55
57	7	55
58	7	55
59	7	54
60	7	54
61	7	53
62	7	53
63	7	53
64	7	53
65	8	54
66	8	54
67	8	54
68	8	54
69	8	54
70	8	54
71	9	54
72	9	54
73	9	54
74	9	54
75	9	53
76	9	53
77	9	53
78	9	53
79	10	52
80	10	52
81	10	52
82	10	52
83	10	52
84	10	52
85	10	51
86	10	51
87	11	51
88	11	51
89	11	50
90	11	50
91	11	50
92	11	50
93	11	49
94	11	49
95	11	49
96	11	49
97	11	48
98	11	48
99	12	48
100	12	48
101	12	48
102	12	48
103	12	48
104	12	47
105	12	47
106	12	47
107	12	46
108	13	46
109	13	46
110	13	46
111	13	45
112	13	45
113	13	45
114	13	45
115	13	45
116	13	45
117	13	45
118	14	45
119	14	44
120	14	44
121	14	44
122	14	44
123	14	44
124	14	44
125	14	43
126	14	44
127	15	43
128	15	43
129	15	43
130	15	43
131	15	43
132	15	43
133	15	43
134	16	43
135	16	43
136	16	43
137	16	42
138	16	42
139	16	42
140	16	42
141	16	42
142	16	42
143	16	41
144	17	41
145	17	41
146	17	41
147	17	41
148	17	41
149	17	41
150	17	41
151	18	41
152	18	41
153	18	41
154	18	40
155	18	40
156	18	40
157	18	40
158	18	40
159	18	39
160	18	39
161	19	39
162	19	39
163	19	39
164	19	39
165	19	39
166	20	40
167	20	40
168	20	40
169	20	40
170	20	40
171	20	40
172	21	39
173	21	39
174	21	39
175	21	39
176	21	39
177	21	39
178	21	39
179	21	38
180	21	38
181	22	38
182	22	38
183	22	38
184	22	37
185	22	37
186	22	37
187	22	37
188	22	37
189	22	37
190	22	36
191	23	36
192	23	36
193	23	36
194	23	36
195	23	36
196	23	36
197	23	36
198	23	35
199	23	35
200	23	35
201	24	35
202	24	35
203	24	35
204	24	34
205	24	34
206	24	34
207	24	34
208	24	34
209	24	34
210	25	34
211	25	34
212	25	33
213	25	33
214	25	33
215	25	33
216	25	33
217	25	33
218	25	33
219	25	33
220	26	32
221	26	32
222	26	32
223	26	32
224	26	32
225	26	32
226	26	32
227	26	31
228	26	31
229	26	31
230	26	31
231	27	31
232	27	31
233	27	30
234	27	30
235	27	30
236	27	30
237	27	30
238	27	30
239	27	30
240	27	29
241	28	29
242	28	29
243	28	29
244	28	29
245	28	29
246	28	29
247	28	29
248	28	28
249	28	28
250	28	28
251	28	28
252	28	28
253	29	28
254	29	27
255	29	27
256	29	27
257	29	27
258	29	27
259	29	27
260	29	27
261	29	27
262	30	27
263	30	26
264	30	26
265	30	26
266	30	26
267	30	26
268	30	26
269	30	26
270	31	26
271	31	26
272	31	26
273	31	25
274	31	25
275	31	25
276	31	25
277	31	25
278	32	25
279	32	25
280	32	25
281	32	25
282	32	24
283	32	24
284	32	24
285	32	24
286	33	24
287	33	24
288	33	24
289	33	24
290	33	24
291	33	24
292	33	23
293	34	23
294	34	23
295	34	23
296	34	23
297	34	23
298	34	23
299	34	23
300	34	23
301	34	22
302	35	22
303	35	22
304	35	22
305	35	22
306	35	22
307	35	22
308	35	22
309	35	21
310	35	21
311	36	21
312	36	21
313	36	21
314	36	21
315	36	21
316	36	21
317	36	21
318	37	21
319	37	20
320	37	20
321	37	20
322	37	20
323	37	20
324	37	20
325	37	20
326	37	20
327	37	19
328	38	19
329	38	19
330	38	19
331	38	19
332	38	19
333	38	19
334	38	19
335	38	18
336	38	18
337	39	18
338	39	18
339	39	18
340	39	18
341	39	18
342	39	18
343	39	18
344	39	17
345	40	17
346	40	17
347	40	17
348	40	17
349	40	17
350	40	17
351	40	17
352	40	16
353	40	16
354	40	16
355	41	16
356	41	16
357	41	16
358	41	16
359	41	16
360	41	16
361	42	16
362	42	15
363	42	15
364	42	15
365	42	15
366	42	15
367	42	15
368	42	15
369	42	15
370	42	14
371	43	14
372	43	14
373	43	14
374	43	14
375	43	14
376	43	14
377	44	14
378	44	14
379	44	14
380	44	13
381	44	13
382	44	13
383	45	13
384	45	13
385	45	13
386	45	13
387	45	13
388	45	12
389	45	12
390	45	12
391	45	12
392	45	12
393	45	12
394	45	12
395	46	12
396	46	11
397	46	11
398	46	11
399	46	11
400	46	11
401	46	11
402	46	11
403	46	11
404	47	11
405	47	10
406	47	10
407	47	10
408	47	10
409	47	10
410	48	10
411	48	10
412	48	10
413	48	10
414	48	9
415	48	9
416	48	9
417	49	9
418	49	9
419	49	9
420	49	9
421	49	9
422	49	9
423	49	8
424	50	8
425	50	8
426	50	8
427	50	8
428	50	8
429	50	8
430	50	8
431	50	7
432	50	7
433	50	7
434	50	7
435	51	7
436	51	7
437	51	7
438	51	7
439	51	7
440	51	6
441	51	6
442	51	6
443	52	6
444	52	6
445	52	6
446	52	6
447	52	6
448	52	5
449	52	5
450	52	5
451	52	5
452	52	5
453	52	5
454	53	5
455	53	5
456	53	5
457	53	4
458	53	4
459	53	4
460	53	4
461	53	4
462	53	4
463	53	4
464	54	4
465	54	3
466	54	3
467	54	3
468	54	3
469	54	3
470	54	3
471	55	3
472	55	3
473	55	3
474	55	2
475	55	2
476	55	2
477	55	2
478	55	2
479	55	2
480	56	2
481	56	2
482	56	1
483	56	1
484	56	1
485	56	1
486	56	1
487	56	1
488	56	1
489	56	1
490	57	1
491	57	0
492	57	0
493	57	0
494	57	0
495	57	0
496	57	0
497	57	0
498	57	0
499	58	0
